-394.844604492,210.149169922,3236.3425293
-352.893768311,218.745605469,3236.31860352
-318.024902344,202.217163086,3236.33349609
-300.785247803,175.852294922,3237.0222168
-296.59362793,152.845092773,3236.63793945
-304.04864502,124.842285156,3236.92138672
-316.4871521,108.448486328,3237.09765625
-335.571166992,95.7194824219,3237.24902344
-360.128509521,90.2928466797,3237.33374023
-396.237854004,100.883666992,3237.34277344
-422.353607178,135.070556641,3237.19873047
-425.520599365,156.980834961,3237.14282227
-420.361694336,181.516601563,3236.64550781
-404.370513916,202.873779297,3236.50170898
